Job_Role,Required_Skills
Data Analyst,"pandas, power bi, data visualization, dashboarding, statistics, sql, tableau, python"
Data Scientist,"feature engineering, seaborn, numpy, statistics"
Data Scientist,"matplotlib, numpy, tensorflow, sql, machine learning, seaborn"
iOS Developer,"swiftui, ios, core data, api integration, swift, xcode"
Business Analyst,"data analysis, communication, excel, jira, requirement gathering, power bi, sql"
Cybersecurity Analyst,"penetration testing, soc, network security, vulnerability assessment, ethical hacking, linux"
Frontend Developer,"tailwind, html, vue, javascript, figma, react, redux, angular"
UI/UX Designer,"figma, adobe xd, user research, responsive design, wireframing"
Data Scientist,"feature engineering, sql, matplotlib, nlp, tensorflow, machine learning"
Cloud Architect,"azure, networking, docker, ci/cd, terraform, cloud security, kubernetes, aws"
Frontend Developer,"bootstrap, figma, css, html, vue"
Blockchain Developer,"cryptography, rust, solidity, hardhat, web3, smart contracts"
Data Scientist,"seaborn, scikit-learn, tensorflow, sql"
Business Analyst,"sql, jira, power bi, documentation, communication, requirement gathering, data analysis, excel"
Frontend Developer,"javascript, react, figma, responsive design"
DevOps Engineer,"aws, terraform, docker, prometheus, github actions"
Mobile App Developer,"react native, ios, swift, api integration, android, flutter, mobile ui"
Android Developer,"kotlin, android studio, sqlite, material design, java, rest api"
Full Stack Developer,"sql, python, mongodb, nodejs, javascript, docker, firebase, tailwind"
Backend Developer,"microservices, mongodb, django, java, flask, postgresql"
Game Developer,"multiplayer networking, game physics, c#, unreal engine, unity"
Computer Vision Engineer,"deep learning, cnn, object detection, opencv, tensorflow, python, yolo"
Blockchain Developer,"rust, web3, polygon, cryptography, smart contracts, defi, ethereum, solidity"
NLP Engineer,"python, transformers, nlp, bert, huggingface, text classification, sentiment analysis"
Frontend Developer,"css, angular, nextjs, redux, responsive design, react, vue"
DevOps Engineer,"docker, github actions, terraform, bash, monitoring"
UI/UX Designer,"prototyping, responsive design, design systems, wireframing"
Data Scientist,"matplotlib, nlp, feature engineering, machine learning"
Embedded Systems Engineer,"microcontrollers, iot, embedded linux, arduino"
Embedded Systems Engineer,"arduino, microcontrollers, c++, iot, raspberry pi, embedded linux, c"
Data Analyst,"excel, dashboarding, python, sql, power bi, tableau"
Frontend Developer,"redux, react, vue, figma, angular, tailwind"
AR/VR Developer,"c#, unreal engine, arkit, unity, arcore"
Database Administrator,"sql, performance optimization, database tuning, oracle, backup recovery, mysql"
Business Analyst,"requirement gathering, excel, documentation, power bi, communication, sql, jira"
DevOps Engineer,"prometheus, kubernetes, docker, monitoring, aws, terraform"
Blockchain Developer,"hardhat, defi, cryptography, polygon"
DevOps Engineer,"linux, bash, terraform, jenkins, monitoring, docker"
Data Scientist,"pandas, numpy, deep learning, scikit-learn, python, sql, statistics"
Software Tester,"jira, manual testing, automation testing, api testing, test cases"
Machine Learning Engineer,"model deployment, computer vision, deep learning, fastapi, tensorflow"
Software Tester,"bug tracking, test cases, jira, manual testing, api testing"
Backend Developer,"mongodb, postgresql, microservices, python, nodejs, rest api"
Frontend Developer,"tailwind, react, figma, responsive design, javascript, angular"
Database Administrator,"postgresql, performance optimization, sql, oracle, mysql, database tuning, backup recovery"
NLP Engineer,"python, sentiment analysis, text classification, bert, llms, nlp, transformers"
iOS Developer,"xcode, firebase, swiftui, api integration, swift"
UI/UX Designer,"design systems, prototyping, responsive design, figma, adobe xd"
AI Engineer,"prompt engineering, python, llms, tensorflow, rag, vector databases, huggingface"
Full Stack Developer,"python, firebase, nodejs, rest api, javascript, express, react, mongodb"
AR/VR Developer,"vr interaction, 3d modeling, arcore, c#, arkit, unreal engine"
Machine Learning Engineer,"flask, tensorflow, deep learning, fastapi, model deployment, aws, mlops, pytorch"
Data Scientist,"python, numpy, seaborn, tensorflow, matplotlib"
Cloud Architect,"docker, aws, linux, terraform, kubernetes, azure, ci/cd"
Cybersecurity Analyst,"soc, cryptography, network security, vulnerability assessment, linux, penetration testing, wireshark, siem"
UI/UX Designer,"responsive design, wireframing, figma, user research"
NLP Engineer,"huggingface, llms, transformers, python, text classification, nlp, bert, sentiment analysis"
Business Analyst,"communication, sql, requirement gathering, excel"
Android Developer,"jetpack compose, rest api, java, kotlin, sqlite, android studio, firebase"
Site Reliability Engineer,"monitoring, docker, linux, terraform, prometheus, kubernetes, incident management, aws"
Backend Developer,"java, rest api, flask, redis, mongodb, django, express, nodejs"
Game Developer,"3d graphics, multiplayer networking, game physics, blender"
Data Analyst,"python, tableau, sql, excel, pandas, power bi"
QA Engineer,"automation testing, cypress, api testing, selenium"
Network Engineer,"cisco, vpn, tcp/ip, routing, linux, network security"
Cloud Architect,"microservices, docker, azure, aws, kubernetes, cloud security, terraform"
Database Administrator,"performance optimization, postgresql, mysql, sql"
NLP Engineer,"sentiment analysis, nlp, bert, python, huggingface, text classification, llms, transformers"
Database Administrator,"backup recovery, postgresql, oracle, database tuning, mysql, performance optimization"
Mobile App Developer,"react native, ios, flutter, android, dart"
Business Analyst,"power bi, documentation, excel, communication, jira"
Data Scientist,"matplotlib, seaborn, pandas, numpy, machine learning"
Cybersecurity Analyst,"cryptography, vulnerability assessment, firewalls, ethical hacking, penetration testing, siem"
AR/VR Developer,"arkit, 3d modeling, vr interaction, c#, unreal engine, arcore, unity"
Game Developer,"multiplayer networking, blender, unity, c#, 3d graphics, game physics, unreal engine"
Computer Vision Engineer,"python, yolo, object detection, tensorflow, cnn, image processing, deep learning"
Full Stack Developer,"sql, rest api, firebase, python, tailwind"
Game Developer,"3d graphics, c++, multiplayer networking, unreal engine, game physics, c#, blender, unity"
QA Engineer,"cypress, api testing, postman, performance testing, selenium"
iOS Developer,"firebase, core data, api integration, swiftui, swift"
Computer Vision Engineer,"opencv, image processing, deep learning, cnn, object detection, tensorflow, python"
Software Tester,"bug tracking, api testing, test cases, selenium, automation testing"
Frontend Developer,"vue, responsive design, tailwind, javascript"
Data Analyst,"dashboarding, statistics, excel, data visualization, power bi"
iOS Developer,"api integration, core data, xcode, swift"
Business Analyst,"excel, communication, data analysis, documentation"
QA Engineer,"selenium, performance testing, automation testing, api testing"
Frontend Developer,"figma, react, angular, css, bootstrap, html, responsive design"
Mobile App Developer,"swift, dart, firebase, android, flutter, ios, mobile ui, react native"
AR/VR Developer,"unity, vr interaction, arkit, 3d modeling"
Frontend Developer,"react, bootstrap, angular, javascript"
Machine Learning Engineer,"flask, docker, deep learning, tensorflow, computer vision, fastapi, kubernetes, model deployment"
Game Developer,"3d graphics, c#, unity, blender, unreal engine, c++"
Cybersecurity Analyst,"vulnerability assessment, linux, siem, soc, firewalls"
Data Scientist,"pandas, matplotlib, python, feature engineering, seaborn, sql, scikit-learn, numpy"
Database Administrator,"sql, performance optimization, mysql, postgresql, database tuning"
AI Engineer,"huggingface, langchain, rag, vector databases, transformers, python, openai api"
Backend Developer,"flask, mongodb, redis, django, nodejs"
Game Developer,"c#, multiplayer networking, game physics, 3d graphics, c++, unity, unreal engine, blender"
Android Developer,"rest api, android studio, material design, kotlin, jetpack compose"
Machine Learning Engineer,"mlops, kubernetes, python, tensorflow, pytorch, deep learning"
Data Scientist,"matplotlib, pandas, numpy, tensorflow, nlp, sql, python"
Database Administrator,"backup recovery, mysql, oracle, sql, database tuning, performance optimization"
Network Engineer,"cisco, routing, linux, switching, vpn, tcp/ip"
Network Engineer,"firewalls, cisco, switching, network security, linux, tcp/ip, routing"
Android Developer,"java, firebase, jetpack compose, sqlite, kotlin, android studio, rest api"
Backend Developer,"microservices, flask, java, python, redis, django"
Site Reliability Engineer,"prometheus, kubernetes, aws, docker"
Mobile App Developer,"firebase, dart, android, kotlin, react native, api integration, ios"
Computer Vision Engineer,"object detection, cnn, opencv, tensorflow, deep learning, python"
Business Analyst,"requirement gathering, excel, documentation, communication"
Database Administrator,"performance optimization, postgresql, database tuning, backup recovery"
Game Developer,"game physics, blender, c++, 3d graphics, multiplayer networking, unreal engine, c#, unity"
QA Engineer,"cypress, selenium, performance testing, api testing"
NLP Engineer,"transformers, llms, sentiment analysis, bert"
Computer Vision Engineer,"object detection, opencv, cnn, python, image processing"
UI/UX Designer,"user research, prototyping, design systems, figma, wireframing, responsive design, adobe xd"
Cybersecurity Analyst,"linux, wireshark, siem, vulnerability assessment, firewalls, network security, soc"
Backend Developer,"express, flask, django, redis, microservices, mongodb"
AI Engineer,"rag, langchain, huggingface, python, openai api, transformers, prompt engineering"
Site Reliability Engineer,"aws, incident management, kubernetes, terraform, docker, linux, prometheus"
Backend Developer,"java, django, microservices, nodejs"
QA Engineer,"postman, api testing, performance testing, automation testing"
UI/UX Designer,"prototyping, wireframing, user research, figma, design systems"
Business Analyst,"power bi, documentation, jira, excel, requirement gathering, communication, data analysis"
Embedded Systems Engineer,"iot, raspberry pi, c, embedded linux, c++"
Cloud Architect,"terraform, ci/cd, cloud security, gcp, docker, kubernetes"
Embedded Systems Engineer,"c++, iot, raspberry pi, arduino, microcontrollers, embedded linux"
Android Developer,"jetpack compose, rest api, firebase, kotlin"
Embedded Systems Engineer,"c, embedded linux, c++, microcontrollers, iot, raspberry pi"
Cloud Architect,"networking, docker, aws, kubernetes, ci/cd"
Computer Vision Engineer,"object detection, tensorflow, yolo, image processing, cnn, deep learning"
NLP Engineer,"sentiment analysis, nlp, text classification, transformers, python, huggingface"
QA Engineer,"automation testing, postman, cypress, selenium, performance testing"
Game Developer,"c++, unreal engine, 3d graphics, game physics, unity"
Database Administrator,"oracle, mysql, performance optimization, postgresql, sql, backup recovery, database tuning"
Blockchain Developer,"defi, blockchain security, smart contracts, solidity, ethereum"
AR/VR Developer,"c#, 3d modeling, arkit, unity, unreal engine, vr interaction, arcore"
Cybersecurity Analyst,"firewalls, cryptography, network security, incident response, ethical hacking, soc, vulnerability assessment"
Software Tester,"selenium, jira, manual testing, automation testing"
AR/VR Developer,"unreal engine, arcore, c#, vr interaction"
Cybersecurity Analyst,"penetration testing, cryptography, network security, siem, soc, firewalls, wireshark, linux"
QA Engineer,"api testing, postman, cypress, selenium, automation testing, performance testing"
Game Developer,"c#, game physics, unity, multiplayer networking, unreal engine, blender, 3d graphics"
Cloud Architect,"docker, gcp, networking, microservices, azure"
Cloud Architect,"microservices, kubernetes, aws, docker"
Game Developer,"3d graphics, unreal engine, multiplayer networking, blender, unity, c#, c++, game physics"
AR/VR Developer,"arcore, unity, arkit, vr interaction, 3d modeling"
Data Analyst,"power bi, python, dashboarding, tableau, pandas, statistics, excel"
NLP Engineer,"python, llms, transformers, huggingface, sentiment analysis, text classification, bert, nlp"
Full Stack Developer,"tailwind, nodejs, sql, docker, firebase, react, mongodb, rest api"
Computer Vision Engineer,"object detection, deep learning, yolo, cnn, image processing, tensorflow"
Android Developer,"firebase, sqlite, android studio, rest api, jetpack compose, java, kotlin, material design"
Full Stack Developer,"mongodb, javascript, tailwind, express, nodejs, django, firebase"
Machine Learning Engineer,"computer vision, tensorflow, flask, python, aws, fastapi, mlops, deep learning"
iOS Developer,"api integration, firebase, core data, swiftui, swift"
Cloud Architect,"kubernetes, microservices, networking, ci/cd, azure, terraform, docker"
Android Developer,"sqlite, rest api, kotlin, jetpack compose, firebase, java, material design, android studio"
Game Developer,"unreal engine, multiplayer networking, 3d graphics, blender, c#, c++, unity, game physics"
Full Stack Developer,"docker, react, javascript, django, mongodb, python"
Cloud Architect,"docker, kubernetes, terraform, ci/cd, networking"
UI/UX Designer,"wireframing, adobe xd, figma, prototyping, responsive design"
Backend Developer,"postgresql, rest api, mongodb, flask, java, spring boot, express, nodejs"
AI Engineer,"langchain, python, nlp, deep learning, transformers"
Game Developer,"c#, multiplayer networking, unreal engine, c++"
iOS Developer,"api integration, firebase, ios, swiftui, xcode, swift, core data"
Backend Developer,"mongodb, flask, postgresql, java, microservices, rest api, django"
Full Stack Developer,"react, mongodb, express, python, django, tailwind, sql, javascript"
Data Scientist,"deep learning, matplotlib, seaborn, scikit-learn, machine learning, nlp, python"
NLP Engineer,"llms, text classification, transformers, python, nlp, huggingface, sentiment analysis, bert"
Computer Vision Engineer,"image processing, object detection, opencv, cnn, python"
Backend Developer,"python, nodejs, java, postgresql, mongodb, redis, django, rest api"
Software Tester,"bug tracking, manual testing, automation testing, jira"
Data Analyst,"tableau, excel, dashboarding, statistics, python, pandas, sql"
Cybersecurity Analyst,"firewalls, wireshark, incident response, vulnerability assessment"
AR/VR Developer,"vr interaction, 3d modeling, unity, c#, arkit, unreal engine"
iOS Developer,"swiftui, ios, xcode, swift"
Computer Vision Engineer,"object detection, yolo, cnn, deep learning, python, image processing, tensorflow"
NLP Engineer,"nlp, sentiment analysis, bert, llms, python, huggingface, text classification"
Site Reliability Engineer,"incident management, terraform, kubernetes, linux, monitoring, aws"
Data Scientist,"deep learning, tensorflow, machine learning, python, scikit-learn, statistics, seaborn, pandas"
QA Engineer,"performance testing, selenium, postman, api testing, automation testing"
Data Scientist,"deep learning, numpy, matplotlib, nlp, tensorflow, seaborn, python, scikit-learn"
NLP Engineer,"nlp, python, text classification, sentiment analysis, transformers, llms, huggingface, bert"
Blockchain Developer,"smart contracts, web3, blockchain security, rust, defi, ethereum, polygon, cryptography"
NLP Engineer,"sentiment analysis, huggingface, python, nlp, transformers"
iOS Developer,"xcode, api integration, swift, swiftui"
Data Analyst,"statistics, sql, pandas, excel, data visualization, power bi"
Network Engineer,"tcp/ip, firewalls, switching, routing"
Blockchain Developer,"cryptography, web3, polygon, solidity"
Computer Vision Engineer,"image processing, opencv, python, tensorflow, cnn, deep learning, yolo"
Cloud Architect,"aws, kubernetes, terraform, gcp, microservices"
Frontend Developer,"javascript, react, redux, nextjs"
Software Tester,"test cases, automation testing, selenium, api testing, bug tracking, jira"
QA Engineer,"cypress, postman, api testing, selenium, automation testing"
Database Administrator,"oracle, sql, mysql, performance optimization, backup recovery, database tuning, postgresql"
Full Stack Developer,"docker, sql, mongodb, express, django"
Machine Learning Engineer,"flask, fastapi, python, tensorflow, deep learning"
Data Analyst,"excel, pandas, dashboarding, tableau, statistics, sql"
DevOps Engineer,"monitoring, ansible, aws, docker"
Network Engineer,"network security, tcp/ip, cisco, linux"
DevOps Engineer,"jenkins, prometheus, github actions, ansible, bash, linux, terraform, docker"
Mobile App Developer,"dart, ios, flutter, swift"
QA Engineer,"performance testing, postman, automation testing, selenium, api testing"
iOS Developer,"swift, ios, swiftui, core data, api integration, firebase, xcode"
NLP Engineer,"sentiment analysis, bert, text classification, nlp, python, llms, huggingface, transformers"
Data Scientist,"machine learning, python, deep learning, pandas, tensorflow, matplotlib, nlp"
Database Administrator,"backup recovery, sql, database tuning, oracle, performance optimization"
iOS Developer,"core data, swift, xcode, swiftui, firebase, api integration, ios"
Software Tester,"bug tracking, jira, automation testing, manual testing, test cases, api testing, selenium"
iOS Developer,"api integration, ios, xcode, firebase, swift, swiftui"
Game Developer,"c++, 3d graphics, unity, blender"
Backend Developer,"postgresql, flask, java, python, redis, nodejs"
Game Developer,"unreal engine, c++, multiplayer networking, game physics, 3d graphics, blender"
AR/VR Developer,"3d modeling, arcore, unreal engine, unity"
AR/VR Developer,"c#, arkit, arcore, vr interaction, 3d modeling"
Game Developer,"game physics, multiplayer networking, blender, c++, unreal engine, 3d graphics"
Game Developer,"blender, 3d graphics, unreal engine, game physics, c#"
iOS Developer,"swift, firebase, ios, core data, api integration"
Business Analyst,"jira, sql, documentation, power bi, data analysis"
DevOps Engineer,"monitoring, docker, jenkins, linux, prometheus, bash, terraform"
Frontend Developer,"responsive design, css, figma, javascript, html"
Game Developer,"unity, blender, multiplayer networking, c++, c#, 3d graphics, game physics"
Full Stack Developer,"tailwind, react, firebase, rest api, express, python"
NLP Engineer,"transformers, text classification, huggingface, bert, nlp, python, llms"
Cloud Architect,"cloud security, aws, gcp, kubernetes"
Backend Developer,"python, redis, django, flask, nodejs"
Android Developer,"sqlite, kotlin, jetpack compose, java, android studio"
Game Developer,"c#, unreal engine, game physics, multiplayer networking, blender, c++, 3d graphics"
iOS Developer,"firebase, api integration, swift, xcode, ios, core data, swiftui"
Full Stack Developer,"sql, python, rest api, nodejs, django, react, docker, javascript"
AI Engineer,"openai api, llms, vector databases, huggingface"
AI Engineer,"huggingface, rag, prompt engineering, llms, python, langchain, vector databases"
Backend Developer,"django, redis, spring boot, mongodb, nodejs, postgresql, java"
AR/VR Developer,"arkit, c#, unreal engine, 3d modeling, vr interaction, arcore"
Frontend Developer,"tailwind, react, nextjs, responsive design"
UI/UX Designer,"user research, wireframing, responsive design, design systems, adobe xd"
Computer Vision Engineer,"image processing, yolo, python, deep learning, opencv"
Cybersecurity Analyst,"siem, incident response, penetration testing, linux, cryptography"
Site Reliability Engineer,"docker, aws, incident management, linux, monitoring, prometheus, kubernetes, terraform"
Data Scientist,"feature engineering, pandas, deep learning, matplotlib, scikit-learn, nlp, seaborn"
Data Scientist,"deep learning, scikit-learn, python, feature engineering, pandas"
QA Engineer,"selenium, postman, api testing, performance testing"
Full Stack Developer,"django, tailwind, nodejs, javascript, sql"
Software Tester,"bug tracking, manual testing, jira, selenium, api testing, test cases, automation testing"
Data Scientist,"pandas, numpy, nlp, tensorflow, matplotlib, scikit-learn"
Cloud Architect,"networking, azure, linux, cloud security, kubernetes, ci/cd, microservices"
Data Analyst,"excel, statistics, python, sql"
Cybersecurity Analyst,"cryptography, firewalls, siem, penetration testing"
AR/VR Developer,"arkit, arcore, unity, 3d modeling, c#"
Software Tester,"automation testing, manual testing, test cases, jira, api testing, bug tracking, selenium"
QA Engineer,"automation testing, cypress, selenium, postman"
Network Engineer,"tcp/ip, cisco, network security, switching, linux, routing"
Database Administrator,"performance optimization, oracle, database tuning, sql, backup recovery, mysql, postgresql"
Android Developer,"rest api, kotlin, jetpack compose, firebase, material design"
UI/UX Designer,"user research, design systems, wireframing, adobe xd, prototyping, figma, responsive design"
Blockchain Developer,"hardhat, polygon, cryptography, web3"
AR/VR Developer,"unreal engine, 3d modeling, arcore, unity, arkit"
Data Scientist,"matplotlib, sql, feature engineering, seaborn, numpy"
Frontend Developer,"figma, bootstrap, vue, responsive design, react, css, tailwind"
Software Tester,"automation testing, bug tracking, api testing, manual testing"
Embedded Systems Engineer,"raspberry pi, embedded linux, iot, arduino, c, microcontrollers, c++"
Android Developer,"kotlin, java, jetpack compose, material design, sqlite, android studio, rest api"
Database Administrator,"database tuning, mysql, oracle, sql, backup recovery, postgresql"
Blockchain Developer,"cryptography, smart contracts, solidity, rust, web3, defi, hardhat"
Android Developer,"jetpack compose, java, kotlin, material design, sqlite, rest api, android studio"
QA Engineer,"automation testing, performance testing, cypress, postman"
UI/UX Designer,"adobe xd, figma, responsive design, prototyping, design systems, wireframing, user research"
Full Stack Developer,"rest api, nodejs, express, react, mongodb, docker"
NLP Engineer,"huggingface, python, transformers, sentiment analysis, llms, nlp, text classification"
Frontend Developer,"redux, javascript, bootstrap, nextjs, html, angular"
Site Reliability Engineer,"monitoring, terraform, linux, incident management, prometheus, kubernetes, aws"
AI Engineer,"prompt engineering, llms, rag, vector databases, transformers"
Full Stack Developer,"mongodb, javascript, firebase, python, express"
Android Developer,"android studio, material design, jetpack compose, java, firebase, sqlite, rest api, kotlin"
Blockchain Developer,"solidity, defi, ethereum, polygon, blockchain security, smart contracts"
Android Developer,"rest api, kotlin, android studio, firebase, jetpack compose, sqlite"
DevOps Engineer,"ansible, terraform, monitoring, aws, github actions"
Game Developer,"blender, c#, unreal engine, multiplayer networking, game physics, unity, c++, 3d graphics"
Embedded Systems Engineer,"c++, arduino, c, iot, microcontrollers, embedded linux, raspberry pi"
NLP Engineer,"sentiment analysis, python, bert, transformers, llms, huggingface"
Machine Learning Engineer,"flask, tensorflow, computer vision, deep learning"
iOS Developer,"swiftui, api integration, xcode, firebase, core data, ios"
UI/UX Designer,"adobe xd, responsive design, wireframing, user research, design systems, prototyping, figma"
Computer Vision Engineer,"deep learning, tensorflow, cnn, python, image processing"
Software Tester,"test cases, automation testing, api testing, jira, manual testing, selenium"
Embedded Systems Engineer,"c, embedded linux, c++, microcontrollers, iot"
Blockchain Developer,"rust, polygon, ethereum, hardhat, blockchain security"
AR/VR Developer,"arcore, unity, arkit, unreal engine, c#"
Machine Learning Engineer,"pytorch, kubernetes, flask, deep learning"
Site Reliability Engineer,"prometheus, monitoring, linux, docker, aws"
iOS Developer,"api integration, core data, xcode, firebase"
Data Analyst,"sql, statistics, pandas, data visualization, python"
Full Stack Developer,"rest api, nodejs, javascript, react, python, mongodb, express, firebase"
Machine Learning Engineer,"docker, deep learning, computer vision, pytorch"
Android Developer,"android studio, rest api, firebase, sqlite"
Mobile App Developer,"dart, react native, mobile ui, kotlin"
Database Administrator,"mysql, database tuning, performance optimization, postgresql, sql, backup recovery"
Site Reliability Engineer,"docker, kubernetes, linux, terraform, monitoring, prometheus"
Full Stack Developer,"nodejs, django, express, react, python, tailwind, mongodb, docker"
Blockchain Developer,"cryptography, hardhat, polygon, blockchain security, smart contracts, web3, solidity"
Cybersecurity Analyst,"cryptography, linux, incident response, penetration testing, network security, soc, vulnerability assessment"
Blockchain Developer,"blockchain security, ethereum, polygon, defi, hardhat, smart contracts, web3"
Software Tester,"test cases, manual testing, automation testing, bug tracking"
Network Engineer,"tcp/ip, firewalls, switching, cisco, routing, vpn, network security, linux"
iOS Developer,"swift, firebase, ios, core data, xcode, api integration, swiftui"
Machine Learning Engineer,"python, kubernetes, model deployment, computer vision"
Android Developer,"kotlin, material design, java, firebase, jetpack compose, android studio, sqlite"
Site Reliability Engineer,"incident management, terraform, prometheus, docker, kubernetes, aws"
Database Administrator,"sql, postgresql, performance optimization, database tuning, backup recovery, mysql"
AI Engineer,"llms, prompt engineering, transformers, vector databases"
Blockchain Developer,"cryptography, polygon, solidity, hardhat, ethereum, blockchain security"
DevOps Engineer,"kubernetes, terraform, github actions, docker, prometheus, bash, monitoring"
Network Engineer,"firewalls, vpn, switching, routing, network security, tcp/ip, cisco"
QA Engineer,"automation testing, performance testing, selenium, cypress, postman, api testing"
Software Tester,"manual testing, bug tracking, automation testing, selenium, api testing, jira, test cases"
DevOps Engineer,"ansible, aws, linux, kubernetes, monitoring, jenkins, bash, docker"
Data Scientist,"feature engineering, machine learning, tensorflow, pandas, seaborn, numpy"
Full Stack Developer,"mongodb, rest api, tailwind, sql, docker"
UI/UX Designer,"user research, design systems, responsive design, adobe xd, prototyping, figma"
AI Engineer,"rag, openai api, llms, prompt engineering, deep learning, huggingface, python, vector databases"
Computer Vision Engineer,"object detection, cnn, python, yolo"
DevOps Engineer,"terraform, aws, ansible, docker, linux, jenkins"
Cybersecurity Analyst,"network security, ethical hacking, penetration testing, incident response, cryptography"
DevOps Engineer,"aws, ansible, bash, prometheus, github actions, jenkins, docker"
Database Administrator,"mysql, postgresql, database tuning, backup recovery"
Site Reliability Engineer,"monitoring, aws, linux, kubernetes, docker, prometheus, incident management"
Computer Vision Engineer,"deep learning, python, yolo, image processing, opencv, object detection, tensorflow"
AI Engineer,"vector databases, deep learning, nlp, transformers, openai api, llms, huggingface, tensorflow"
Business Analyst,"data analysis, sql, communication, excel"
QA Engineer,"performance testing, selenium, api testing, automation testing"
NLP Engineer,"bert, transformers, llms, sentiment analysis, python"
Network Engineer,"tcp/ip, network security, switching, cisco, firewalls, linux"
QA Engineer,"postman, automation testing, performance testing, api testing"
Data Scientist,"numpy, tensorflow, pandas, feature engineering, nlp, deep learning, sql"
Computer Vision Engineer,"python, object detection, deep learning, yolo, image processing, tensorflow"
Cloud Architect,"kubernetes, linux, terraform, gcp"
Site Reliability Engineer,"linux, monitoring, incident management, docker"
Backend Developer,"rest api, spring boot, java, flask, nodejs, postgresql, mongodb, python"
AR/VR Developer,"unity, arcore, vr interaction, arkit, c#, 3d modeling, unreal engine"
Business Analyst,"jira, sql, communication, documentation, data analysis, power bi"
UI/UX Designer,"wireframing, adobe xd, user research, responsive design, design systems, prototyping"
Full Stack Developer,"rest api, docker, tailwind, nodejs, django, react"
Android Developer,"sqlite, rest api, kotlin, firebase, material design, jetpack compose"
Network Engineer,"vpn, cisco, firewalls, linux"
Cloud Architect,"linux, azure, cloud security, terraform, docker, kubernetes"
Backend Developer,"microservices, java, mongodb, flask, spring boot, django, nodejs"
DevOps Engineer,"terraform, ansible, prometheus, linux, docker, aws, monitoring"
Full Stack Developer,"firebase, python, nodejs, sql, rest api"
Backend Developer,"express, spring boot, postgresql, mongodb, java, django, rest api, flask"
Cloud Architect,"kubernetes, aws, azure, linux, gcp, microservices, cloud security"
UI/UX Designer,"design systems, responsive design, adobe xd, user research, figma, wireframing, prototyping"
Embedded Systems Engineer,"embedded linux, arduino, raspberry pi, c++, iot, c"
Backend Developer,"postgresql, redis, microservices, mongodb, python, flask, java, express"
DevOps Engineer,"terraform, monitoring, prometheus, linux, github actions, jenkins"
DevOps Engineer,"bash, prometheus, linux, monitoring, kubernetes, aws, ansible"
DevOps Engineer,"kubernetes, bash, aws, monitoring, docker, github actions"
AR/VR Developer,"vr interaction, unity, arcore, unreal engine"
Machine Learning Engineer,"fastapi, tensorflow, computer vision, python, kubernetes"
DevOps Engineer,"linux, kubernetes, bash, monitoring"
AR/VR Developer,"vr interaction, arkit, unreal engine, c#"
iOS Developer,"swiftui, swift, xcode, firebase, ios, api integration, core data"
Computer Vision Engineer,"python, deep learning, image processing, cnn, object detection, opencv"
Data Analyst,"pandas, dashboarding, statistics, data visualization, tableau, excel"
Cybersecurity Analyst,"network security, ethical hacking, vulnerability assessment, firewalls"
Site Reliability Engineer,"terraform, aws, prometheus, kubernetes, linux, incident management, monitoring, docker"
DevOps Engineer,"monitoring, ansible, kubernetes, linux, aws"
DevOps Engineer,"ansible, jenkins, github actions, linux"
NLP Engineer,"llms, transformers, nlp, python"
QA Engineer,"postman, performance testing, cypress, api testing, automation testing, selenium"
iOS Developer,"swift, ios, firebase, xcode"
Blockchain Developer,"smart contracts, cryptography, blockchain security, hardhat, ethereum, web3, polygon"
Embedded Systems Engineer,"c, raspberry pi, iot, arduino, c++, embedded linux"
NLP Engineer,"huggingface, transformers, python, nlp, llms, text classification, sentiment analysis, bert"
Business Analyst,"sql, jira, requirement gathering, power bi, documentation, communication, excel, data analysis"
Frontend Developer,"html, css, react, nextjs"
Backend Developer,"microservices, rest api, mongodb, redis, express, nodejs, flask"
Backend Developer,"rest api, express, mongodb, postgresql, microservices, nodejs, django"
Database Administrator,"database tuning, performance optimization, oracle, sql"
Site Reliability Engineer,"linux, prometheus, monitoring, kubernetes, aws, incident management, docker, terraform"
Cybersecurity Analyst,"penetration testing, incident response, linux, cryptography"
NLP Engineer,"huggingface, text classification, transformers, nlp, llms, sentiment analysis, python, bert"
Backend Developer,"java, postgresql, mongodb, flask, python"
Backend Developer,"java, microservices, redis, spring boot"
Database Administrator,"postgresql, performance optimization, backup recovery, oracle, mysql, database tuning"
Frontend Developer,"tailwind, javascript, angular, responsive design, react, bootstrap, redux, figma"
Data Scientist,"sql, feature engineering, statistics, nlp, machine learning, deep learning"
UI/UX Designer,"prototyping, figma, user research, responsive design"
Computer Vision Engineer,"python, object detection, image processing, yolo, cnn, deep learning"
QA Engineer,"api testing, postman, selenium, performance testing, cypress"
Machine Learning Engineer,"flask, python, computer vision, kubernetes"
iOS Developer,"xcode, ios, swiftui, swift, api integration, firebase, core data"
Frontend Developer,"bootstrap, javascript, vue, responsive design, angular, tailwind, html, redux"
Full Stack Developer,"sql, express, django, firebase"
Computer Vision Engineer,"python, opencv, deep learning, yolo"
Frontend Developer,"redux, css, javascript, angular"
Cybersecurity Analyst,"soc, cryptography, ethical hacking, siem, penetration testing, wireshark"
Business Analyst,"data analysis, power bi, requirement gathering, jira"
QA Engineer,"cypress, postman, automation testing, selenium"
Business Analyst,"communication, power bi, data analysis, documentation, excel"
AR/VR Developer,"vr interaction, c#, unity, 3d modeling, unreal engine"
